,future_d,current_d,order 
tmp_D.843,0.131777625,0.125259516,457
tmp_D.844,0.315824765,0.310408635,740
tmp_D.845,0.015328762,0.015779703,165
tmp_D.846,0.139285714,0.1328644,472
tmp_D.847,0.076261057,0.069038097,325
tmp_D.848,0.149398705,0.143175583,492
tmp_D.849,0.367124586,0.359605911,787
tmp_D.85,0.182031084,0.170249603,556
tmp_D.850,0,1.11E-16,68
tmp_D.851,-2.22E-16,0,7
tmp_D.852,0.191162344,0.178343949,571
tmp_D.853,0,1.11E-16,69
tmp_D.854,0.205449827,0.197113909,603
tmp_D.855,0.340009208,0.329428398,758
tmp_D.86,0.356828194,0.351385747,776
tmp_D.87,0.243729553,0.247215431,668
tmp_D.88,0.299635036,0.296857833,727
tmp_D.89,0.353129283,0.348145428,772
tmp_D.9,0.280020267,0.273890643,709
tmp_D.90,0.048831169,0.050208237,271
tmp_D.91,0.006534613,0.007947383,134
tmp_D.92,0.030635279,0.02882063,210
tmp_D.93,0.069190415,0.063829787,312
tmp_D.94,0.021351351,0.022909012,188
tmp_D.95,0.016099071,0.017911354,171
tmp_D.96,0.023375509,0.024971942,194
tmp_D.97,0.029359431,0.028404768,207
tmp_D.98,0.264705882,0.263692225,693
tmp_D.99,0.013752914,0.014462081,161
