,future_d,current_d,order 
tmp_D.475,0.020113259,0.020969856,182
tmp_D.476,0.066630553,0.062439962,308
tmp_D.477,0.686180067,0.63976841,853
tmp_D.478,0.454322334,0.472447494,832
tmp_D.479,0.186734263,0.173560422,563
tmp_D.48,0.140879479,0.135753749,477
tmp_D.480,0,0,42
tmp_D.481,0.352366479,0.345283397,770
tmp_D.482,0.088906582,0.081254631,351
tmp_D.483,0,0,43
tmp_D.484,0.242757391,0.245530146,666
tmp_D.485,0.218914925,0.213330712,627
tmp_D.486,0.153113228,0.145296492,499
tmp_D.487,0.110959704,0.106952925,408
tmp_D.488,0.220584066,0.217062264,633
tmp_D.489,0.072887768,0.067324832,321
tmp_D.49,0.012020342,0.012649165,154
tmp_D.490,0.065343051,0.05872622,300
tmp_D.491,0.035488476,0.032777233,224
tmp_D.492,0.263605164,0.262935432,690
tmp_D.493,0.180195495,0.169082126,553
tmp_D.494,0.580173692,0.564719101,850
tmp_D.495,0.133757962,0.126796715,460
tmp_D.496,0.21683561,0.209857724,624
tmp_D.497,0.502149613,0.524965463,845
tmp_D.498,0.151938759,0.144615385,497
tmp_D.499,0.290976331,0.281465659,718
tmp_D.5,0.103705486,0.097134595,384
tmp_D.50,0.026442308,0.025700394,199
tmp_D.500,0.097746698,0.093703625,376
tmp_D.501,0.036947994,0.033109065,227
tmp_D.502,0.15163335,0.144251785,496
tmp_D.503,0.086866762,0.075471698,346
tmp_D.504,0.029136803,0.028215377,205
tmp_D.505,0.049259888,0.050446122,274
tmp_D.506,0.004200798,0.006223073,123
tmp_D.507,0.467105263,0.485669782,835
tmp_D.508,0.121080806,0.11594509,436
tmp_D.509,0.219180742,0.215034965,629
tmp_D.51,0.0057924,0.007162418,130
tmp_D.510,0.146235437,0.139777703,484
tmp_D.511,0.249658136,0.249622438,673
tmp_D.512,0.380369844,0.379589196,796
tmp_D.513,0.077304965,0.069860279,329
tmp_D.514,0.002434706,0.003211132,108
tmp_D.515,0,0,44
tmp_D.516,0.112060998,0.107210988,410
tmp_D.517,0.105899705,0.099401972,391
tmp_D.518,0,0,45
tmp_D.519,0.000497884,0.000955795,91
tmp_D.52,1.11E-16,1.11E-16,71
tmp_D.520,0.022775939,0.023447402,190
tmp_D.521,0.185966423,0.173406863,562
tmp_D.522,0.249356334,0.249594024,672
tmp_D.523,0.0427695,0.044016313,248
tmp_D.524,0.132009531,0.125991389,458
tmp_D.525,0.362732919,0.356685348,785
tmp_D.526,0.002409639,0.003156106,107
tmp_D.527,0.05993247,0.058288472,295
tmp_D.528,0.098624233,0.09472982,378
tmp_D.529,0,0,46
tmp_D.53,0.054671745,0.05447799,283
tmp_D.530,0.085198054,0.073541843,344
tmp_D.531,0.228306072,0.226092745,648
tmp_D.532,0,0,47
tmp_D.533,0.014608234,0.015372168,163
tmp_D.534,0.361366892,0.354525649,782
tmp_D.535,0.2,0.18903557,589
tmp_D.536,0.406964657,0.415256202,812
tmp_D.537,0.470922308,0.487484355,836
tmp_D.538,0.028141544,0.027802962,204
tmp_D.539,0.261989695,0.261274014,688
tmp_D.54,NA,,
tmp_D.540,0.016067146,0.017905476,170
tmp_D.541,0.211575255,0.204173211,615
tmp_D.542,0.029647715,0.028720627,209
tmp_D.543,0.250209205,0.2501703,674
tmp_D.544,0.077849462,0.070038911,331
tmp_D.545,0,0,48
tmp_D.546,0.39936238,0.410681955,810
tmp_D.547,0.442570281,0.455333196,827
tmp_D.548,0.194625999,0.182031084,576
tmp_D.549,0.206994329,0.201201201,606
tmp_D.55,0.110501727,0.106621005,407
tmp_D.550,0.235321101,0.234538153,657
tmp_D.551,0.108591722,0.105989848,403
tmp_D.552,0.066245414,0.060482777,304
tmp_D.553,0.037608657,0.03539823,232
tmp_D.554,0,0,49
tmp_D.555,0.041429547,0.043166423,244
tmp_D.556,0.144074214,0.139565217,483
tmp_D.557,0.035432231,0.032693187,223
tmp_D.558,0.162765574,0.156948229,526
tmp_D.559,0.427158866,0.434326401,820
tmp_D.56,0.011319949,0.011960381,152
tmp_D.560,0.19696757,0.188297583,585
tmp_D.561,0,0,50
tmp_D.562,0.472978227,0.48887198,837
tmp_D.563,0.116980277,0.112269067,424
tmp_D.564,0.035728464,0.03284288,225
tmp_D.565,0.193403836,0.181029497,575
tmp_D.566,0.430804077,0.441514776,822
tmp_D.567,0.039713653,0.041136364,240
tmp_D.568,0.213645653,0.20673788,619
tmp_D.569,0.228133817,0.225859516,647
tmp_D.57,0.20779479,0.201905204,608
tmp_D.570,0.208611164,0.202120718,609
tmp_D.571,0.093411008,0.089514066,363
tmp_D.572,0.001044386,0.001303781,96
tmp_D.573,0.078390565,0.071201092,335
tmp_D.574,0.287375669,0.276754786,714
tmp_D.575,0.32587345,0.319139877,749
tmp_D.576,0,0,51
tmp_D.577,1.11E-16,0.000369822,79
tmp_D.578,1.11E-16,0.000379147,80
tmp_D.579,0.000465008,0.000662105,88
tmp_D.58,0.252843063,0.252988898,677
tmp_D.580,0.110056107,0.106345733,406
tmp_D.581,0.000214408,0.000484496,86
tmp_D.582,0.012300388,0.012874155,155
tmp_D.583,0.009436744,0.010039041,145
tmp_D.584,0.086737657,0.075035261,345
tmp_D.585,0.042416452,0.043739635,246
tmp_D.586,0.004723347,0.006844627,125
tmp_D.587,0.001330377,0.001880985,99
tmp_D.588,0.06374269,0.058710298,299
tmp_D.589,0.201379825,0.189555556,592
tmp_D.59,0.055297065,0.054722164,284
tmp_D.590,0.048177888,0.049399724,268
tmp_D.591,0.093216532,0.088763802,362
tmp_D.592,0.019959632,0.020770991,181
tmp_D.593,0.104520397,0.098630612,387
tmp_D.594,-2.22E-16,0,3
tmp_D.595,0.382525538,0.38118307,797
tmp_D.596,0.252427184,0.252409362,676
tmp_D.597,0.151470588,0.143819792,495
tmp_D.598,0.147163695,0.142029785,487
tmp_D.599,0.010319174,0.010762332,147
tmp_D.6,0.161885657,0.156848702,525
tmp_D.60,0.179891202,0.166959578,551
tmp_D.600,0.005034325,0.006984634,126
tmp_D.601,0.023008412,0.024463908,192
tmp_D.602,0.274640089,0.268141354,701
tmp_D.603,0.073947668,0.068088774,323
tmp_D.604,0.116184047,0.111396194,421
tmp_D.605,0.020476472,0.022051774,184
tmp_D.606,0.020235467,0.021351351,183
tmp_D.607,0.209292591,0.202921753,610
tmp_D.608,0.098548249,0.09459113,377
tmp_D.609,0.317666461,0.310596241,741
tmp_D.61,0.219248493,0.215508947,630
tmp_D.610,0.277297858,0.272178259,706
tmp_D.611,0.253831902,0.253872633,679
tmp_D.612,0.147247706,0.142407057,488
tmp_D.613,0.289202387,0.280691964,717
tmp_D.614,0.016899767,0.018164968,173
tmp_D.615,0.002581756,0.004511895,113
tmp_D.616,0.009254865,0.009689441,143
tmp_D.617,-2.22E-16,0,4
tmp_D.618,0.0004,0.000549149,87
tmp_D.619,0.039953963,0.041188218,241
tmp_D.62,0.320938127,0.311725776,744
tmp_D.620,0.2431387,0.246121787,667
tmp_D.621,0.160679923,0.156661786,524
tmp_D.622,0.157971925,0.152153411,515
tmp_D.623,0.044078947,0.046975212,256
tmp_D.624,0.129128569,0.123113772,452
tmp_D.625,0.478074357,0.498455201,839
tmp_D.626,0.033560434,0.031459255,220
tmp_D.627,0.479944123,0.498693992,840
tmp_D.628,0.043327909,0.04601227,252
tmp_D.629,0.389093342,0.398554104,804
tmp_D.63,0,0,9
tmp_D.630,0.513919822,0.529211087,846
tmp_D.631,0.078542971,0.071947504,336
tmp_D.632,0.307749813,0.303819444,736
tmp_D.633,0.112191651,0.108225108,412
tmp_D.634,0.023660714,0.025007104,195
tmp_D.635,0.386785222,0.394434629,801
tmp_D.636,0.106170336,0.099599137,392
tmp_D.637,0.004614838,0.006838386,124
tmp_D.638,0.305489774,0.302551903,734
tmp_D.639,0.167202572,0.157834366,533
tmp_D.64,0.169251701,0.159987175,537
tmp_D.640,0.416624854,0.422350472,816
tmp_D.641,0.117438387,0.113529049,428
tmp_D.642,0.299525638,0.294520548,726
tmp_D.643,0.376325088,0.377425461,793
tmp_D.644,0.388106416,0.396623593,803
tmp_D.645,0.071797394,0.066971952,319
tmp_D.646,0.010423453,0.011473738,150
tmp_D.647,0.043630377,0.046074283,253
tmp_D.648,0.127179194,0.122028526,449
tmp_D.649,0.235265465,0.23448073,656
tmp_D.65,0.05754352,0.056040268,290
tmp_D.650,0.024509804,0.025218235,196
tmp_D.651,0.265607102,0.266127401,696
tmp_D.652,0.091948765,0.085771658,360
tmp_D.653,0.021101993,0.022575091,187
tmp_D.654,0.052252623,0.052572956,278
tmp_D.655,0.11513495,0.110582307,418
tmp_D.656,0.264705882,0.26452732,694
tmp_D.657,0.00861244,0.0095518,142
tmp_D.658,0.044189853,0.047652418,257
tmp_D.659,0.012873326,0.013395157,158
tmp_D.66,0.115529048,0.1105919,419
tmp_D.660,0.002618487,0.005038335,115
tmp_D.661,0.057240334,0.055803916,289
tmp_D.662,0.207487154,0.201672862,607
tmp_D.663,0.001337345,0.001885903,100
tmp_D.664,0.243902439,0.247278126,669
tmp_D.665,0.121607238,0.117369309,438
tmp_D.666,0.212511091,0.206238824,617
tmp_D.667,0.200189753,0.189388532,591
tmp_D.668,0,0,52
tmp_D.669,0,0,53
tmp_D.67,0.195162835,0.18256433,577
tmp_D.670,0,0,54
tmp_D.671,0.137212644,0.13136317,468
tmp_D.672,0.175760624,0.163645915,546
tmp_D.673,0.127036462,0.120593368,447
tmp_D.674,0.012672811,0.013129625,156
tmp_D.675,0.032768542,0.031115149,217
tmp_D.676,-2.22E-16,0,5
tmp_D.677,0.043042453,0.04587405,250
tmp_D.678,0.134550697,0.127067553,461
tmp_D.679,0.03343084,0.031150356,219
tmp_D.68,0.197328476,0.188324282,586
tmp_D.680,0.159173554,0.153508772,519
tmp_D.681,0.006490496,0.007402569,133
tmp_D.682,0.154517678,0.14756418,504
tmp_D.683,0.066917793,0.06258297,309
tmp_D.684,0,0,55
tmp_D.685,0.231296101,0.229697132,650
tmp_D.686,0,1.11E-16,56
tmp_D.687,0.224358974,0.222306525,642
tmp_D.688,0.276508821,0.269090909,704
tmp_D.689,1.11E-16,0.00040347,81
tmp_D.69,0.117350793,0.112512315,426
tmp_D.690,0.195292849,0.182610745,578
tmp_D.691,0.196366177,0.184317181,580
tmp_D.692,0.178914683,0.166317748,550
tmp_D.693,0.038159576,0.036024527,233
tmp_D.694,0.050549915,0.052346194,277
tmp_D.695,0.258049887,0.256405756,683
tmp_D.696,0.07582299,0.068553459,324
tmp_D.697,0,1.11E-16,57
tmp_D.698,0.079617259,0.072453623,337
tmp_D.699,0.347682119,0.335913783,764
tmp_D.7,0.003269755,0.005096132,117
tmp_D.70,0.070038911,0.065163833,315
tmp_D.700,0.433243635,0.442435775,823
tmp_D.701,1.11E-16,0.000408747,82
tmp_D.702,0.089239856,0.081278694,352
tmp_D.703,0.319976077,0.311402203,743
tmp_D.704,0.158961882,0.153434092,518
tmp_D.705,0.288432432,0.27881371,715
tmp_D.706,0.319732556,0.310724818,742
tmp_D.707,0.2264377,0.222415507,644
tmp_D.708,0.200144509,0.189183412,590
tmp_D.709,0.362462006,0.354928018,783
tmp_D.71,0.052372756,0.053307009,279
tmp_D.710,0.067117335,0.062644564,310
