,Current_d,Future_d,delta_d,order
tmp_D.506,-2.22E-16,0.02704383,-0.02704383,163
tmp_D.97,0,0.026785714,-0.026785714,164
tmp_D.702,0.017574353,0.044077135,-0.026502782,165
tmp_D.278,0.165476963,0.191527878,-0.026050915,166
tmp_D.28,0.302428772,0.328425821,-0.025997049,167
tmp_D.144,0.463619744,0.489278351,-0.025658606,168
tmp_D.780,0.134731747,0.160216863,-0.025485116,169
tmp_D.172,0,0.025186567,-0.025186567,170
tmp_D.808,0.146970706,0.171941972,-0.024971266,171
tmp_D.728,0.115057283,0.139979859,-0.024922576,172
tmp_D.75,0.321622671,0.346430656,-0.024807985,173
tmp_D.491,0.034890427,0.059677419,-0.024786993,174
tmp_D.550,0.221813251,0.246412755,-0.024599504,175
tmp_D.737,0.310635793,0.335216916,-0.024581123,176
tmp_D.483,0.073677956,0.098119859,-0.024441903,177
tmp_D.612,0.318882466,0.343098674,-0.024216207,178
tmp_D.394,0.290274127,0.314237856,-0.023963729,179
tmp_D.501,0.067875481,0.09160544,-0.023729959,180
tmp_D.79,0.311206387,0.334918957,-0.02371257,181
tmp_D.107,0.118506155,0.142211704,-0.023705549,182
tmp_D.510,0.217519323,0.241103559,-0.023584236,183
tmp_D.318,0.206716092,0.230226796,-0.023510704,184
tmp_D.525,0.104032729,0.127534685,-0.023501956,185
tmp_D.485,0.250245982,0.273663876,-0.023417894,186
tmp_D.691,0.202223089,0.225492228,-0.023269139,187
tmp_D.15,0.125905651,0.149167592,-0.02326194,188
tmp_D.157,0.195712484,0.218948154,-0.023235669,189
tmp_D.451,0.344119694,0.367295597,-0.023175904,190
tmp_D.432,0.002039776,0.025141098,-0.023101322,191
tmp_D.308,0.219458089,0.242497857,-0.023039767,192
tmp_D.644,0.361626879,0.384126288,-0.022499409,193
tmp_D.539,0.086279817,0.108560184,-0.022280366,194
tmp_D.152,0.28241335,0.304657534,-0.022244184,195
tmp_D.493,0.249829258,0.271961648,-0.02213239,196
tmp_D.227,0.001758156,0.023780488,-0.022022332,197
tmp_D.599,0.155666252,0.177614194,-0.021947942,198
tmp_D.438,0.172764625,0.194712547,-0.021947922,199
tmp_D.274,0.445455997,0.46724193,-0.021785933,200
tmp_D.414,0.663503736,0.685258335,-0.021754598,201
tmp_D.410,0.091550953,0.113213038,-0.021662085,202
tmp_D.760,0.198394495,0.219903415,-0.02150892,203
tmp_D.842,0.254867539,0.276133133,-0.021265594,204
tmp_D.520,0.156960227,0.178168403,-0.021208176,205
tmp_D.831,0.342328317,0.36329958,-0.020971263,206
tmp_D.62,0.294062559,0.314937107,-0.020874548,207
tmp_D.103,0.250463392,0.271275268,-0.020811876,208
tmp_D.307,0.055736283,0.076540541,-0.020804258,209
tmp_D.18,0.333889057,0.354623761,-0.020734703,210
tmp_D.551,0.224608044,0.245212676,-0.020604632,211
tmp_D.613,0.128404027,0.148869565,-0.020465538,212
tmp_D.712,0,0.019274376,-0.019274376,213
tmp_D.795,0.278905054,0.298100243,-0.019195189,214
tmp_D.266,0.13107105,0.150064963,-0.018993913,215
tmp_D.677,0,0.018958687,-0.018958687,216
tmp_D.419,0.037491158,0.056408212,-0.018917054,217
tmp_D.686,0.236989796,0.255725191,-0.018735395,218
tmp_D.21,0.047952307,0.066588511,-0.018636204,219
tmp_D.344,0,0.018578644,-0.018578644,220
tmp_D.813,1.11E-16,0.018505587,-0.018505587,221
tmp_D.211,0.159320978,0.177766305,-0.018445327,222
tmp_D.298,0.199178645,0.217569916,-0.018391271,223
tmp_D.640,0.138483278,0.156785503,-0.018302225,224
tmp_D.220,0.022227966,0.040519481,-0.018291515,225
tmp_D.16,0.200893855,0.219058296,-0.018164441,226
tmp_D.415,0.042030872,0.06013363,-0.018102758,227
tmp_D.830,0.056199822,0.074032075,-0.017832254,228
tmp_D.124,0.079381182,0.096910112,-0.017528931,229
tmp_D.288,0.056020279,0.0735138,-0.017493522,230
tmp_D.761,0.125739645,0.143225252,-0.017485607,231
tmp_D.39,0.158456366,0.175634363,-0.017177997,232
tmp_D.729,0.034296404,0.050851205,-0.016554801,233
tmp_D.402,0.154344074,0.170865065,-0.016520992,234
tmp_D.610,0.331632653,0.348077306,-0.016444653,235
tmp_D.571,0.196205008,0.212619126,-0.016414118,236
tmp_D.185,0.119013751,0.135419045,-0.016405295,237
tmp_D.67,0.188423902,0.204626335,-0.016202433,238
tmp_D.55,0.096181047,0.112228149,-0.016047103,239
tmp_D.164,0.005797724,0.021805183,-0.016007459,240
tmp_D.9,0.262438683,0.278319328,-0.015880645,241
tmp_D.340,0.136348064,0.15210813,-0.015760066,242
tmp_D.312,0.130449591,0.145655608,-0.015206017,243
tmp_D.444,0.046791157,0.061907909,-0.015116752,244
tmp_D.589,0.06910337,0.084158416,-0.015055046,245
tmp_D.543,0.053666016,0.068504955,-0.014838939,246
tmp_D.74,0.03951679,0.054314498,-0.014797709,247
tmp_D.176,0.149221813,0.163991439,-0.014769626,248
tmp_D.408,0.066145213,0.080824879,-0.014679666,249
tmp_D.824,0,0.014013291,-0.014013291,250
tmp_D.660,0.003576538,0.017289821,-0.013713283,251
tmp_D.203,0.095428841,0.108846688,-0.013417848,252
tmp_D.522,0.109727756,0.123059323,-0.013331568,253
tmp_D.416,0.090909091,0.104034509,-0.013125418,254
tmp_D.499,0.159869747,0.172974664,-0.013104916,255
tmp_D.652,0.292076259,0.304660788,-0.01258453,256
tmp_D.593,0.013646158,0.026086957,-0.012440799,257
tmp_D.284,0.234726153,0.247101645,-0.012375492,258
tmp_D.743,0.168708327,0.180976299,-0.012267972,259
tmp_D.497,0.161390303,0.17354618,-0.012155877,260
tmp_D.178,0.145432031,0.157005838,-0.011573807,261
tmp_D.699,0.073000537,0.084493237,-0.0114927,262
tmp_D.496,0.140328232,0.151726974,-0.011398742,263
tmp_D.132,0.104056728,0.115450644,-0.011393916,264
tmp_D.320,0.098669345,0.110014514,-0.011345169,265
tmp_D.556,0.073794882,0.085042333,-0.011247451,266
tmp_D.606,0.028646892,0.039770969,-0.011124077,267
tmp_D.733,0.151412621,0.1625236,-0.011110979,268
tmp_D.275,0.366344294,0.377455167,-0.011110873,269
tmp_D.552,0.096071311,0.107111655,-0.011040344,270
tmp_D.3,0.394434629,0.405429462,-0.010994833,271
tmp_D.452,0,0.010946746,-0.010946746,272
tmp_D.223,0.09853219,0.109451307,-0.010919117,273
tmp_D.396,0.032041228,0.042548452,-0.010507224,274
tmp_D.58,0.262955032,0.273421793,-0.010466761,275
tmp_D.675,0.003035965,0.013342118,-0.010306154,276
tmp_D.343,0.003644462,0.013879561,-0.010235099,277
tmp_D.803,0,0.010075567,-0.010075567,278
tmp_D.91,1.11E-16,0.010045489,-0.010045489,279
tmp_D.250,0.053668342,0.063534335,-0.009865993,280
tmp_D.442,0.228852998,0.238613188,-0.009760191,281
tmp_D.407,0.032781287,0.042367067,-0.00958578,282
tmp_D.161,0.04788547,0.057446455,-0.009560985,283
tmp_D.248,0.004871849,0.014358295,-0.009486445,284
tmp_D.834,0.047281743,0.056656614,-0.009374871,285
tmp_D.512,0.201310704,0.2102902,-0.008979496,286
tmp_D.228,0.038221529,0.04719284,-0.008971311,287
tmp_D.605,0.103636746,0.112444725,-0.008807979,288
tmp_D.276,0.307087959,0.315713772,-0.008625813,289
tmp_D.533,0.033217993,0.041820954,-0.008602961,290
tmp_D.738,0.340273761,0.348779081,-0.00850532,291
tmp_D.325,0.011348981,0.019636015,-0.008287034,292
tmp_D.183,0.175490884,0.183497324,-0.008006441,293
tmp_D.545,0.070030896,0.078023698,-0.007992802,294
tmp_D.121,0.220128255,0.228019602,-0.007891347,295
tmp_D.306,0.222724338,0.230609274,-0.007884936,296
tmp_D.359,0.205650858,0.213533498,-0.00788264,297
tmp_D.553,0.05982906,0.067644662,-0.007815602,298
tmp_D.85,0.129997421,0.137699607,-0.007702186,299
tmp_D.541,0.020551039,0.028043081,-0.007492042,300
tmp_D.23,0.187017002,0.194470415,-0.007453414,301
tmp_D.591,0.074600355,0.081303116,-0.006702761,302
tmp_D.93,0.058390177,0.064844967,-0.006454789,303
tmp_D.2,0.046210721,0.052450559,-0.006239838,304
tmp_D.624,0.053181387,0.059408127,-0.006226741,305
tmp_D.604,0.05680317,0.063016158,-0.006212988,306
tmp_D.622,0.155607751,0.161778327,-0.006170576,307
tmp_D.336,0.094771242,0.100823503,-0.006052261,308
tmp_D.704,0.295753755,0.301684211,-0.005930456,309
tmp_D.13,0.229375169,0.235261708,-0.005886539,310
tmp_D.99,0.01471837,0.020599251,-0.005880881,311
tmp_D.575,0.192449923,0.198253003,-0.00580308,312
tmp_D.315,0.396039604,0.401813472,-0.005773868,313
tmp_D.462,0.064422648,0.07008965,-0.005667001,314
tmp_D.66,0.110079576,0.115687598,-0.005608023,315
tmp_D.681,0.155379221,0.16098081,-0.005601589,316
tmp_D.225,0.139806209,0.145295587,-0.005489378,317
tmp_D.356,0.265531766,0.270997904,-0.005466139,318
tmp_D.127,-2.22E-16,0.005316321,-0.005316321,319
tmp_D.82,0.181078524,0.186370778,-0.005292254,320
tmp_D.643,0.269396552,0.274667828,-0.005271277,321
tmp_D.586,0.028213166,0.033445621,-0.005232455,322
tmp_D.422,0.18729097,0.192430025,-0.005139056,323
tmp_D.309,0.21322691,0.218351879,-0.005124969,324
tmp_D.313,0.064550718,0.069672131,-0.005121413,325
tmp_D.258,0.029345103,0.034373587,-0.005028483,326
tmp_D.500,0.263413843,0.268421053,-0.005007209,327
tmp_D.779,0.055904523,0.060811988,-0.004907466,328
tmp_D.796,0.080889093,0.085779817,-0.004890724,329
tmp_D.96,0.018933937,0.02377892,-0.004844983,330
tmp_D.98,0.259595823,0.264378994,-0.004783172,331
tmp_D.680,0.029831103,0.034599564,-0.004768461,332
tmp_D.6,0.162261082,0.166871417,-0.004610335,333
tmp_D.856,0.3297593,0.334319527,-0.004560227,334
tmp_D.443,0.157936257,0.162422084,-0.004485826,335
tmp_D.244,0.027697936,0.032166302,-0.004468366,336
tmp_D.273,0.013909774,0.018313083,-0.004403309,337
tmp_D.568,0.042394822,0.046785714,-0.004390892,338
tmp_D.4,0.419190803,0.42355089,-0.004360087,339
tmp_D.47,0.071659483,0.075993493,-0.00433401,340
tmp_D.71,0.048211861,0.052540273,-0.004328412,341
tmp_D.609,0.10044103,0.104678363,-0.004237333,342
tmp_D.684,0.068875502,0.073026851,-0.004151349,343
tmp_D.722,0.016608537,0.020600723,-0.003992187,344
tmp_D.65,0.054395604,0.058297049,-0.003901444,345
tmp_D.163,0.051800379,0.055627426,-0.003827047,346
tmp_D.421,0.016755319,0.020499529,-0.00374421,347
tmp_D.585,0.091229099,0.094954014,-0.003724915,348
tmp_D.260,0.143673297,0.147350993,-0.003677697,349
tmp_D.5,0.106111646,0.109721136,-0.00360949,350
tmp_D.560,0.411134904,0.414667988,-0.003533084,351
tmp_D.42,0.11225173,0.115690377,-0.003438647,352
tmp_D.354,0.006617361,0.009991674,-0.003374313,353
tmp_D.504,0.089480436,0.092798691,-0.003318254,354
tmp_D.425,0.078930818,0.082092023,-0.003161205,355
tmp_D.116,0.382363636,0.385489872,-0.003126235,356
tmp_D.481,0.002349539,0.005340454,-0.002990915,357
tmp_D.22,1.11E-16,0.002988898,-0.002988898,358
tmp_D.466,0,0.002903226,-0.002903226,359
tmp_D.540,0.236671744,0.23952739,-0.002855646,360
tmp_D.601,0.014735265,0.01741849,-0.002683226,361
tmp_D.213,0,0.002660663,-0.002660663,362
tmp_D.502,0.032468453,0.035044193,-0.00257574,363
tmp_D.130,0,0.002560819,-0.002560819,364
tmp_D.628,0.467184625,0.469721768,-0.002537143,365
tmp_D.839,0.145545315,0.147679325,-0.00213401,366
tmp_D.658,0.007955936,0.010041994,-0.002086057,367
tmp_D.619,0.138783537,0.140766173,-0.001982636,368
tmp_D.647,0.005992809,0.007831039,-0.001838231,369
tmp_D.573,0.097351342,0.098895823,-0.001544481,370
tmp_D.64,0.166199552,0.167647883,-0.001448332,371
tmp_D.100,0.103121425,0.104539642,-0.001418217,372
tmp_D.289,0.074416455,0.075832743,-0.001416288,373
tmp_D.31,0.342689,0.34406895,-0.00137995,374
tmp_D.625,0.132128864,0.133479212,-0.001350349,375
tmp_D.29,0.102390618,0.103687105,-0.001296487,376
tmp_D.242,0.006229811,0.007479742,-0.001249932,377
tmp_D.253,0.109378993,0.110622541,-0.001243548,378
