n_sp,uni_range_summary,Class,mn_tmp,lwr_tmp,upr_tmp,mn_tmax,lwr_tmax,upr_tmax,mn_tmin,lwr_tmin,upr_tmin,mn_p,lwr_p,upr_p
83,Antaresia maculosa,Reptilia,23.40079272,22.82744986,23.97413559,33.08223953,32.51445013,33.65002892,22.84398063,22.33181205,23.3561492,187.2219793,159.4317222,215.0122364
106,Atelopus spumarius,Reptilia,26.09664846,26.04677498,26.14652195,29.01073718,28.95562896,29.0658454,21.40801282,21.36242957,21.45359607,240.7980769,238.6777438,242.9184101
113,Basiliscus plumifrons,Reptilia,26.15768894,25.66301844,26.65235943,29.77150824,29.31498311,30.22803336,21.14842749,20.58167413,21.71518086,226.3375625,211.9550857,240.7200393
114,Basiliscus vittatus,Reptilia,26.18019433,25.75664141,26.60374725,28.98468806,28.49917772,29.4701984,17.81865269,17.17471112,18.46259426,68.42914078,53.86841726,82.98986431
115,Batagur borneoensis,Reptilia,27.0269,26.81919428,27.23460572,29.669916,29.5066092,29.8332228,22.4275,22.17182594,22.68317406,400.03084,339.5772664,460.4844136
116,Bellatorias frerei,Reptilia,22.21979298,21.49002258,22.94956337,30.23234085,29.75670337,30.70797832,21.87252362,21.26438595,22.4806613,213.0861775,187.2793949,238.89296
118,Bitis arietans,Reptilia,19.6239449,18.80767793,20.44021187,28.78733818,27.88203401,29.69264235,17.41390228,16.76646704,18.06133752,64.12138621,49.73441791,78.50835452
119,Bitis nasicornis,Reptilia,25.51458765,24.76635541,26.26281989,31.10292414,30.29403117,31.9118171,20.13963965,19.34227102,20.93700828,40.95204573,28.17248283,53.73160863
120,Bitis rhinoceros,Reptilia,27.6493124,27.42201743,27.87660737,33.6370004,33.19705278,34.07694802,22.11775,21.51432322,22.72117678,8.94749996,6.888687161,11.00631276
121,Bitis gabonica,Reptilia,26.52882,26.45560242,26.60203758,33.54375,33.03749142,34.05000858,19.80729167,19.14290228,20.47168106,15.03125,14.37905972,15.68344028
122,Blaesodactylus boivini,Reptilia,25.89084622,25.30071907,26.48097336,31.2255373,30.85879481,31.59227979,22.80774297,22.271957,23.34352895,332.9515784,321.9331368,343.97002
123,Blaesodactylus sakalava,Reptilia,25.83057273,25.50561971,26.15552576,33.85122727,33.55519259,34.14726194,22.99227689,22.67244703,23.31210676,218.8212199,188.7314637,248.910976
124,Boa constrictor,Reptilia,25.77418624,25.04408655,26.50428594,30.07116256,29.2331962,30.90912892,18.83845815,17.76347266,19.91344363,95.17838933,71.68259238,118.6741863
126,Boaedon capensis,Reptilia,20.39253575,19.87702599,20.90804552,29.35716554,28.80855336,29.90577771,18.72689751,18.16754729,19.28624772,128.378821,113.3668374,143.3908046
128,Boaedon fuliginosus,Reptilia,23.594916,22.82928459,24.36054741,30.00067954,29.17020913,30.83114995,18.57702164,17.70226381,19.45177947,72.92844659,55.16805267,90.68884051
136,Bogertophis subocularis,Reptilia,20.930805,20.61442248,21.24718752,20.65833333,20.19304136,21.1236253,3.89765625,3.371831942,4.423480558,11.15885417,10.1603762,12.15733213
